11:11:46 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof/mcmc_result/1/dim0, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:11:55 [ultranest] [DEBUG] iteration=759, ncalls=2232, regioncalls=41280, ndraw=40, logz=-130.07, remainder_fraction=100.0000%, Lmin=-123.60, Lmax=-9.68
11:11:55 [ultranest] [DEBUG] iteration=768, ncalls=2251, regioncalls=42040, ndraw=40, logz=-127.22, remainder_fraction=100.0000%, Lmin=-120.77, Lmax=-9.68
11:11:56 [ultranest] [DEBUG] iteration=775, ncalls=2264, regioncalls=42560, ndraw=40, logz=-125.92, remainder_fraction=100.0000%, Lmin=-120.21, Lmax=-9.68
11:11:56 [ultranest] [DEBUG] iteration=781, ncalls=2276, regioncalls=43040, ndraw=40, logz=-124.51, remainder_fraction=100.0000%, Lmin=-118.24, Lmax=-9.68
11:11:56 [ultranest] [DEBUG] iteration=793, ncalls=2295, regioncalls=43800, ndraw=40, logz=-122.77, remainder_fraction=100.0000%, Lmin=-117.38, Lmax=-9.68
11:11:56 [ultranest] [DEBUG] iteration=802, ncalls=2316, regioncalls=44640, ndraw=40, logz=-122.00, remainder_fraction=100.0000%, Lmin=-116.85, Lmax=-9.68
11:11:56 [ultranest] [DEBUG] iteration=804, ncalls=2320, regioncalls=44800, ndraw=40, logz=-121.86, remainder_fraction=100.0000%, Lmin=-116.69, Lmax=-9.68
11:11:56 [ultranest] [DEBUG] iteration=818, ncalls=2340, regioncalls=45600, ndraw=40, logz=-120.76, remainder_fraction=100.0000%, Lmin=-115.70, Lmax=-9.68
11:11:57 [ultranest] [DEBUG] iteration=828, ncalls=2367, regioncalls=46680, ndraw=40, logz=-120.16, remainder_fraction=100.0000%, Lmin=-115.15, Lmax=-9.68
11:11:57 [ultranest] [DEBUG] iteration=837, ncalls=2392, regioncalls=47680, ndraw=40, logz=-119.66, remainder_fraction=100.0000%, Lmin=-114.90, Lmax=-9.68
11:11:57 [ultranest] [DEBUG] iteration=840, ncalls=2396, regioncalls=47840, ndraw=40, logz=-119.52, remainder_fraction=100.0000%, Lmin=-114.82, Lmax=-9.68
11:11:57 [ultranest] [DEBUG] iteration=851, ncalls=2411, regioncalls=48440, ndraw=40, logz=-119.05, remainder_fraction=100.0000%, Lmin=-114.40, Lmax=-9.68
11:11:57 [ultranest] [DEBUG] iteration=864, ncalls=2437, regioncalls=49480, ndraw=40, logz=-118.56, remainder_fraction=100.0000%, Lmin=-114.14, Lmax=-9.68
11:11:57 [ultranest] [DEBUG] iteration=878, ncalls=2461, regioncalls=50440, ndraw=40, logz=-118.13, remainder_fraction=100.0000%, Lmin=-113.89, Lmax=-9.68
11:11:57 [ultranest] [DEBUG] iteration=888, ncalls=2480, regioncalls=51200, ndraw=40, logz=-117.88, remainder_fraction=100.0000%, Lmin=-113.84, Lmax=-9.68
11:11:57 [ultranest] [DEBUG] iteration=897, ncalls=2498, regioncalls=51920, ndraw=40, logz=-117.69, remainder_fraction=100.0000%, Lmin=-113.77, Lmax=-9.68
11:11:57 [ultranest] [DEBUG] iteration=907, ncalls=2523, regioncalls=52920, ndraw=40, logz=-117.51, remainder_fraction=100.0000%, Lmin=-113.71, Lmax=-9.68
11:11:57 [ultranest] [DEBUG] iteration=919, ncalls=2546, regioncalls=53840, ndraw=40, logz=-117.31, remainder_fraction=100.0000%, Lmin=-113.65, Lmax=-9.68
11:11:58 [ultranest] [DEBUG] iteration=928, ncalls=2566, regioncalls=54640, ndraw=40, logz=-117.18, remainder_fraction=100.0000%, Lmin=-113.61, Lmax=-9.68
11:11:58 [ultranest] [DEBUG] iteration=939, ncalls=2604, regioncalls=56160, ndraw=40, logz=-117.04, remainder_fraction=100.0000%, Lmin=-113.59, Lmax=-9.68
11:11:58 [ultranest] [DEBUG] iteration=952, ncalls=2630, regioncalls=57200, ndraw=40, logz=-116.90, remainder_fraction=100.0000%, Lmin=-113.57, Lmax=-9.68
11:11:58 [ultranest] [DEBUG] iteration=960, ncalls=2652, regioncalls=58080, ndraw=40, logz=-116.82, remainder_fraction=100.0000%, Lmin=-113.57, Lmax=-9.68
11:11:58 [ultranest] [DEBUG] iteration=975, ncalls=2679, regioncalls=59160, ndraw=40, logz=-116.68, remainder_fraction=100.0000%, Lmin=-113.55, Lmax=-9.68
11:11:58 [ultranest] [DEBUG] iteration=986, ncalls=2705, regioncalls=60200, ndraw=40, logz=-116.59, remainder_fraction=100.0000%, Lmin=-113.55, Lmax=-9.68
11:11:58 [ultranest] [DEBUG] Plateau detected at L=-1.135440e+02, not replacing live point.
11:11:58 [ultranest] [DEBUG] iteration=991, ncalls=2716, regioncalls=60640, ndraw=40, logz=-116.56, remainder_fraction=100.0000%, Lmin=-113.54, Lmax=-9.68
11:11:59 [ultranest] [DEBUG] Plateau detected at L=-1.135423e+02, not replacing live point.
11:11:59 [ultranest] [DEBUG] iteration=999, ncalls=2730, regioncalls=61200, ndraw=40, logz=-116.50, remainder_fraction=100.0000%, Lmin=-113.54, Lmax=-9.68
11:11:59 [ultranest] [DEBUG] Plateau detected at L=-1.135418e+02, not replacing live point.
11:11:59 [ultranest] [DEBUG] iteration=1002, ncalls=2733, regioncalls=61320, ndraw=40, logz=-116.48, remainder_fraction=100.0000%, Lmin=-113.54, Lmax=-9.68
11:11:59 [ultranest] [DEBUG] Plateau detected at L=-1.135418e+02, not replacing live point.
11:11:59 [ultranest] [DEBUG] Plateau detected at L=-1.135418e+02, not replacing live point.
11:12:00 [ultranest] [DEBUG] iteration=1005, ncalls=2734, regioncalls=61360, ndraw=40, logz=-116.46, remainder_fraction=100.0000%, Lmin=-113.54, Lmax=-9.68
11:12:00 [ultranest] [DEBUG] Plateau detected at L=-1.135416e+02, not replacing live point.
11:12:01 [ultranest] [DEBUG] iteration=1008, ncalls=2737, regioncalls=61480, ndraw=40, logz=-116.44, remainder_fraction=100.0000%, Lmin=-113.54, Lmax=-9.68
11:12:01 [ultranest] [DEBUG] Plateau detected at L=-1.135413e+02, not replacing live point.
11:12:01 [ultranest] [DEBUG] iteration=1010, ncalls=2739, regioncalls=61560, ndraw=40, logz=-116.42, remainder_fraction=100.0000%, Lmin=-113.54, Lmax=-9.68
